 ,Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
1,Track_0,14,0,0,0,0,0,0.676,0.208,0.884,5.000,0,0,353.302,2.752,0,65.406,192.308,0.000,62.514,51.392,36.943,54.142,19.210,37.608,9.510
2,Track_1,14,1,1,0,0,0,0.728,0.000,0.728,45.629,1,1,434.936,2.415,0,96.018,230.769,0.000,87.864,74.488,29.678,37.978,15.456,31.575,7.319
3,Track_2,10,0,0,0,0,0,0.468,0.052,0.520,17.404,2,2,402.303,7.589,0,61.916,109.863,5.586,61.423,32.285,44.325,62.615,21.731,45.823,11.958
4,Track_3,16,0,0,0,0,0,0.780,0.104,0.884,30.114,3,3,461.520,20.360,0,88.038,160.367,19.231,98.960,49.128,31.525,51.785,17.459,31.029,10.007
5,Track_4,54,1,1,0,0,0,2.808,0.000,2.808,18.101,4,4,385.794,21.984,0,74.442,204.340,10.910,66.266,41.028,38.529,58.759,15.447,38.863,9.898
6,Track_5,15,0,0,0,0,0,0.728,0.000,0.728,12.014,5,5,21.734,21.645,0,84.638,184.949,7.741,85.497,52.168,36.851,53.165,19.709,38.492,8.113
7,Track_6,78,1,1,0,0,0,4.056,0.000,4.056,37.343,6,6,473.671,10.774,0,86.818,279.587,10.495,76.278,47.379,32.791,54.374,16.899,32.196,8.508
8,Track_7,12,0,0,0,0,0,0.572,0.000,0.572,7.819,7,7,53.793,38.443,0,81.263,151.406,18.764,69.562,40.193,37.448,57.835,18.011,38.972,10.011
9,Track_8,8,0,0,0,0,0,0.364,0.052,0.416,2.000,8,8,121.607,2.718,0,79.235,193.053,0.000,76.923,62.980,27.708,37.042,15.884,30.285,7.625
10,Track_9,9,0,0,0,0,0,0.416,0.000,0.416,17.587,9,9,191.731,15.485,0,67.806,161.270,12.822,57.779,51.458,41.547,56.620,25.914,42.888,10.761
11,Track_10,105,0,0,0,0,0,5.408,0.104,5.512,109.683,10,10,333.367,63.797,0,95.950,232.633,2.511,94.517,51.272,37.382,56.578,16.217,37.562,9.512
12,Track_11,23,0,0,0,0,0,1.144,0.000,1.144,19.136,11,11,114.703,66.442,0,77.310,166.883,25.681,70.696,38.081,39.025,54.914,18.962,39.836,7.573
13,Track_12,6,0,0,0,0,0,0.260,0.000,0.260,9.312,12,12,135.686,67.181,0,64.694,96.325,48.120,65.087,19.573,42.514,55.075,32.405,45.114,9.102
14,Track_13,37,0,0,0,0,0,1.872,0.000,1.872,5.205,13,13,500.818,71.685,0,69.800,205.210,12.157,66.686,43.367,33.879,64.639,19.131,32.759,7.943
15,Track_14,31,0,0,0,0,0,1.560,0.000,1.560,31.302,14,14,56.361,79.640,0,58.394,142.835,5.931,46.826,36.570,44.164,74.038,22.826,42.804,12.809
16,Track_15,8,0,0,0,0,0,0.364,0.000,0.364,15.184,15,15,202.968,35.853,0,98.168,164.883,53.042,79.273,41.740,37.619,47.475,24.237,40.549,8.232
