 ,Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
1,Track_0,7,0,0,0,0,0,0.312,0.000,0.312,10.801,0,0,172.099,270.201,0,51.468,96.555,9.898,70.482,32.930,46.143,63.479,23.888,47.505,13.477
2,Track_1,59,1,1,0,0,0,3.068,0.000,3.068,5.999,1,1,129.176,268.022,0,72.922,207.939,6.419,67.940,44.125,43.590,64.183,20.541,44.694,10.627
3,Track_2,47,2,1,0,0,0,2.496,0.000,2.496,63.078,2,2,455.544,300.379,0,85.302,265.487,13.877,78.464,50.187,35.361,52.633,17.609,35.164,8.052
4,Track_3,8,0,0,0,0,0,0.364,0.000,0.364,14.455,3,3,209.746,279.868,0,93.854,169.600,30.621,97.936,51.345,52.235,78.564,16.931,60.444,18.673
5,Track_4,13,0,0,0,0,0,0.624,0.260,0.884,26.818,4,4,146.782,285.141,0,94.464,152.066,41.701,95.960,41.893,47.568,71.755,23.190,47.563,12.977
6,Track_5,72,0,0,0,0,0,3.692,0.000,3.692,34.809,5,5,90.302,288.616,0,72.787,284.753,4.220,58.688,48.512,48.044,91.164,29.637,49.077,11.131
7,Track_6,38,1,1,0,0,0,1.976,0.000,1.976,27.920,6,6,417.425,289.021,0,82.957,249.002,16.603,76.703,47.665,40.064,52.963,19.427,43.542,9.011
8,Track_7,19,0,0,0,0,0,0.936,0.000,0.936,5.983,7,7,464.298,250.602,0,69.362,152.757,14.168,60.500,36.815,40.312,58.598,22.730,38.530,11.346
9,Track_8,27,0,0,0,0,0,1.352,0.000,1.352,36.688,8,8,198.966,255.922,0,84.137,213.863,17.678,85.528,56.738,48.614,66.763,23.828,50.280,11.016
10,Track_9,47,0,0,0,0,0,2.392,0.052,2.444,37.287,9,9,360.556,232.065,0,72.999,187.002,8.463,74.229,42.099,47.846,75.941,16.802,48.134,12.949
11,Track_10,26,0,0,0,0,0,1.300,0.000,1.300,15.086,10,10,52.339,249.726,0,71.200,205.109,1.661,63.288,47.905,43.602,68.255,29.246,41.419,10.386
12,Track_11,37,0,0,0,0,0,1.872,0.000,1.872,30.517,11,11,238.241,252.003,0,71.461,175.257,6.252,65.542,42.113,53.722,83.819,32.155,53.794,12.024
13,Track_12,42,1,1,0,0,0,2.184,0.208,2.392,19.034,12,12,380.960,250.591,0,64.582,161.772,10.117,59.988,35.189,47.406,86.138,25.326,47.696,12.452
14,Track_13,37,0,0,0,0,0,1.872,0.000,1.872,23.574,13,13,27.695,275.465,0,57.401,115.392,3.072,54.746,31.272,45.628,88.695,20.845,44.958,12.035
15,Track_14,33,0,0,0,0,0,1.664,0.000,1.664,1.604,14,14,260.588,268.692,0,59.737,149.457,9.678,58.611,28.752,51.925,66.664,29.467,53.302,9.947
16,Track_15,29,1,1,0,0,0,1.508,0.000,1.508,21.555,15,15,169.034,323.646,0,54.938,154.094,17.767,48.017,31.327,43.038,65.679,15.805,45.633,12.860
17,Track_16,51,0,0,0,0,0,2.600,0.000,2.600,54.048,16,16,159.604,314.683,0,71.853,206.292,8.307,62.950,46.400,47.493,66.881,18.572,48.361,8.561
18,Track_17,8,0,0,0,0,0,0.364,0.000,0.364,12.798,17,17,314.882,323.880,0,78.777,173.417,45.432,64.139,44.201,39.691,65.442,23.242,42.170,12.865
19,Track_18,77,0,0,0,0,0,3.952,0.000,3.952,23.518,18,18,257.940,315.602,0,70.035,189.274,3.001,57.454,43.288,49.106,71.127,27.107,50.145,9.235
20,Track_19,50,0,0,0,0,0,2.548,0.000,2.548,43.551,19,19,359.897,347.293,0,76.633,180.281,15.264,71.838,41.585,43.783,60.168,18.486,44.008,9.820
21,Track_20,47,0,0,0,0,0,2.392,0.000,2.392,8.779,20,20,371.072,326.978,0,69.422,145.096,16.236,66.997,32.582,48.185,70.236,29.799,49.293,9.708
22,Track_21,39,0,0,0,0,0,1.976,0.000,1.976,26.598,21,21,20.859,352.589,0,65.417,156.120,18.909,56.523,35.474,42.306,57.456,20.787,43.134,8.310
23,Track_22,14,0,0,0,0,0,0.676,0.000,0.676,19.157,22,22,265.280,322.089,0,63.227,210.065,22.571,59.432,48.325,46.328,61.863,25.360,44.124,9.614
24,Track_23,48,0,0,0,0,0,2.444,0.000,2.444,19.552,23,23,113.162,309.917,0,66.103,192.729,3.174,56.033,41.504,45.927,67.014,20.608,45.663,9.941
25,Track_24,76,1,1,0,0,0,3.952,0.000,3.952,26.797,24,24,209.228,295.316,0,78.480,171.201,1.491,77.493,38.791,46.769,68.921,21.607,45.873,10.653
26,Track_25,13,0,0,0,0,0,0.624,0.000,0.624,10.742,25,25,325.231,298.038,0,75.102,132.852,32.454,74.854,32.277,46.160,74.991,27.832,41.837,13.864
27,Track_26,24,0,0,0,0,0,1.196,0.000,1.196,16.784,26,26,253.239,289.133,0,96.430,181.304,19.436,98.673,48.208,40.795,66.549,19.087,41.856,11.026
28,Track_27,21,0,0,0,0,0,1.040,0.000,1.040,41.540,27,27,297.312,304.688,0,77.635,195.957,13.319,75.972,48.404,47.265,67.790,15.109,47.246,12.294
29,Track_28,238,2,1,0,0,0,12.428,0.000,12.428,46.402,28,28,478.937,314.286,0,35.744,200.963,1.302,24.223,34.854,45.914,104.757,15.503,45.911,13.773
30,Track_29,180,1,1,0,0,0,9.360,0.000,9.360,61.059,29,29,273.849,314.769,0,79.450,278.481,5.397,70.246,48.991,43.070,66.501,17.116,43.139,9.660
31,Track_30,7,0,0,0,0,0,0.312,0.000,0.312,14.810,30,30,334.843,312.337,0,83.621,165.325,30.711,71.691,50.808,31.831,43.827,17.968,34.677,9.213
32,Track_31,95,2,1,0,0,0,4.992,0.000,4.992,14.779,31,31,28.393,337.559,0,77.595,271.044,6.697,65.487,50.470,37.709,77.860,16.422,37.763,9.870
33,Track_32,71,0,0,0,0,0,3.640,0.000,3.640,43.818,32,32,421.322,376.595,0,72.163,164.630,9.028,72.285,33.453,40.402,66.155,21.660,40.431,8.671
34,Track_33,47,1,1,0,0,0,2.444,0.000,2.444,24.527,33,33,433.653,377.691,0,62.617,226.419,8.366,51.323,44.404,39.618,58.510,15.878,41.308,9.100
35,Track_34,10,1,1,0,0,0,0.520,0.052,0.572,10.724,34,34,474.960,376.090,0,50.075,88.322,18.771,38.863,27.147,35.287,50.076,22.163,35.875,8.964
36,Track_35,17,0,0,0,0,0,0.832,0.000,0.832,18.553,35,35,111.434,391.138,0,61.006,114.512,26.693,55.623,28.144,44.465,58.984,31.610,45.547,8.195
37,Track_36,11,0,0,0,0,0,0.520,0.000,0.520,29.541,36,36,166.275,384.202,0,77.361,141.094,10.664,80.012,38.633,41.606,60.327,17.632,40.367,11.795
38,Track_37,18,0,0,0,0,0,0.884,0.000,0.884,15.122,37,37,89.900,393.701,0,58.457,140.069,8.296,55.276,35.314,45.256,56.723,26.689,46.321,7.773
39,Track_38,9,0,0,0,0,0,0.416,0.000,0.416,4.404,38,38,257.391,352.591,0,77.458,164.092,27.284,75.093,42.954,38.513,51.541,25.753,37.363,7.617
40,Track_39,9,0,0,0,0,0,0.416,0.000,0.416,12.629,39,39,299.641,350.976,0,85.527,208.183,18.599,87.823,56.405,40.570,53.093,30.102,37.560,7.769
41,Track_40,39,0,0,0,0,0,1.976,0.000,1.976,41.672,40,40,80.080,370.653,0,67.489,244.393,4.855,56.877,46.317,45.222,83.930,18.764,43.022,15.041
42,Track_41,27,0,0,0,0,0,1.352,0.208,1.560,25.215,41,41,466.388,365.351,0,84.074,147.175,4.153,88.624,37.156,37.962,57.988,21.760,36.492,10.451
43,Track_42,14,0,0,0,0,0,0.676,0.000,0.676,8.689,42,42,456.424,356.525,0,72.623,138.228,23.833,66.951,34.797,40.626,69.259,26.470,41.878,11.229
44,Track_43,11,0,0,0,0,0,0.520,0.000,0.520,23.461,43,43,407.634,367.885,0,85.686,169.443,21.111,104.472,58.744,37.501,51.420,22.844,38.702,9.253
45,Track_44,37,0,0,0,0,0,1.872,0.000,1.872,33.441,44,44,465.208,359.474,0,79.524,231.023,15.507,74.912,42.959,38.604,59.573,18.746,36.181,10.323
46,Track_45,40,0,0,0,0,0,2.028,0.000,2.028,33.736,45,45,427.476,432.287,0,60.495,142.171,7.324,56.282,34.238,41.210,81.721,28.420,40.156,10.012
47,Track_46,15,0,0,0,0,0,0.728,0.000,0.728,32.104,46,46,440.673,409.305,0,100.569,244.942,16.457,84.501,74.675,26.368,38.471,16.485,27.302,6.646
48,Track_47,38,0,0,0,0,0,1.924,0.156,2.080,32.530,47,47,413.698,420.907,0,78.333,216.959,3.583,60.496,52.477,35.265,51.260,18.306,36.773,8.207
49,Track_48,73,0,0,0,0,0,3.744,0.104,3.848,74.790,48,48,385.064,385.594,0,79.116,233.001,8.588,75.234,47.361,36.484,75.607,15.197,37.373,9.828
50,Track_49,34,0,0,0,0,0,1.716,0.000,1.716,23.239,49,49,342.770,413.165,0,57.173,138.872,3.591,57.074,34.743,44.284,56.755,24.861,46.354,7.562
51,Track_50,7,0,0,0,0,0,0.312,0.000,0.312,13.647,50,50,227.472,422.438,0,65.524,122.907,24.410,77.468,37.882,40.822,53.662,22.901,41.140,9.375
52,Track_51,24,0,0,0,0,0,1.196,0.000,1.196,15.245,51,51,70.851,431.892,0,59.085,163.433,7.693,54.170,39.172,35.973,47.946,16.240,36.787,7.723
53,Track_52,116,1,1,0,0,0,6.032,0.000,6.032,49.706,52,52,51.744,408.662,0,74.622,234.765,10.532,66.081,47.422,34.216,50.559,15.524,34.461,7.765
54,Track_53,16,0,0,0,0,0,0.780,0.000,0.780,19.352,53,53,472.055,388.609,0,62.460,115.809,8.116,59.329,29.629,39.413,58.097,25.405,38.742,9.919
55,Track_54,16,0,0,0,0,0,0.780,0.000,0.780,14.016,54,54,67.362,390.219,0,73.254,181.622,11.906,56.899,47.068,41.760,54.296,15.361,44.371,9.368
56,Track_55,26,0,0,0,0,0,1.300,0.000,1.300,16.027,55,55,466.790,402.585,0,80.532,162.818,20.412,75.456,39.274,30.435,51.198,16.119,29.397,8.414
