 ,Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
1,Track_0,30,1,1,0,0,0,1.560,0.000,1.560,22.514,0,0,92.723,9.029,0,64.620,135.375,7.912,52.140,41.410,34.016,45.066,19.327,36.560,6.663
2,Track_1,25,0,0,0,0,0,1.248,0.000,1.248,6.389,1,1,10.306,10.893,0,71.543,143.634,6.937,74.731,42.769,32.333,49.771,18.791,30.417,8.903
3,Track_2,4,0,0,0,0,0,0.156,0.000,0.156,7.930,2,2,26.806,4.085,0,135.844,190.873,101.651,115.008,48.122,27.439,41.239,19.463,26.021,8.299
4,Track_3,22,0,0,0,0,0,1.092,0.000,1.092,20.000,3,3,156.073,6.679,0,71.149,159.050,19.231,46.725,52.667,34.350,49.786,21.022,35.223,7.831
5,Track_4,11,0,0,0,0,0,0.520,0.000,0.520,4.103,4,4,166.347,4.201,0,61.783,134.751,24.089,45.230,38.216,30.919,44.323,16.959,34.288,8.413
6,Track_5,3,0,0,0,0,0,0.104,0.000,0.104,0.000,5,5,233.000,0.000,0,0.000,0.000,0.000,0.000,0.000,27.101,36.745,16.823,27.734,8.146
7,Track_6,39,1,1,0,0,0,2.028,0.000,2.028,13.825,6,6,503.746,23.011,0,82.772,171.338,19.231,85.265,34.575,27.783,43.167,17.001,27.168,6.390
8,Track_7,9,0,0,0,0,0,0.416,0.000,0.416,28.823,7,7,324.967,6.970,0,103.217,178.461,49.990,83.025,51.222,38.095,70.272,15.863,35.924,16.389
9,Track_8,15,0,0,0,0,0,0.728,0.000,0.728,10.133,8,8,451.650,23.669,0,64.897,123.869,28.160,67.239,27.411,44.378,85.239,27.287,38.998,16.190
10,Track_9,6,0,0,0,0,0,0.260,0.000,0.260,5.799,9,9,459.390,15.155,0,69.913,121.478,50.717,54.277,30.058,39.878,46.964,32.476,38.963,4.560
11,Track_10,3,0,0,0,0,0,0.104,0.000,0.104,6.343,10,10,392.585,5.181,0,63.179,78.201,48.157,78.201,21.244,52.072,76.534,38.589,41.095,17.327
12,Track_11,11,0,0,0,0,0,0.520,0.000,0.520,6.918,11,11,215.587,5.060,0,92.393,208.398,30.368,103.523,59.157,41.567,70.926,18.990,36.246,14.957
13,Track_12,102,2,1,0,0,0,5.356,0.052,5.408,43.108,12,12,363.370,24.688,0,74.857,221.912,8.068,65.036,46.621,39.772,62.312,18.078,39.637,8.856
14,Track_13,13,1,1,0,0,0,0.676,0.000,0.676,14.604,13,13,437.936,8.366,0,87.713,178.559,9.155,102.876,44.981,34.176,43.083,22.776,34.557,5.902
15,Track_14,44,0,0,0,0,0,2.236,0.000,2.236,30.658,14,14,205.019,61.806,0,71.044,178.131,14.929,70.238,35.945,49.063,96.875,22.137,48.786,13.150
16,Track_15,19,0,0,0,0,0,0.936,0.000,0.936,20.169,15,15,285.368,43.339,0,67.054,160.536,14.404,66.343,36.995,44.469,53.838,26.205,44.771,8.198
17,Track_16,18,0,0,0,0,0,0.884,0.000,0.884,8.332,16,16,425.960,48.841,0,70.735,178.755,6.571,67.925,44.935,40.954,58.238,20.191,43.371,9.045
18,Track_17,12,0,0,0,0,0,0.572,0.000,0.572,4.215,17,17,245.038,54.312,0,56.464,91.989,22.020,49.616,20.474,46.006,57.655,29.995,46.604,6.864
