 ,Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
1,(ID1857 : ID1807),0,1857,1807,48.783,0.182,452.383,6.584,0,134.316,6.984,None
2,(ID1807 : ID1681),0,1807,1681,31.896,0.234,448.688,8.357,0,108.610,5.648,None
3,(ID1681 : ID1551),0,1681,1551,62.867,0.286,452.294,11.219,0,152.478,7.929,None
4,(ID1551 : ID1634),0,1551,1634,9.711,0.338,455.106,12.330,0,59.927,3.116,None
5,(ID1722 : ID1769),1,1722,1769,0.209,0.026,275.932,30.983,0,8.790,0.457,None
6,(ID1769 : ID1590),1,1769,1590,1.069,0.078,276.196,31.411,0,19.879,1.034,None
7,(ID1590 : ID1858),1,1590,1858,0.393,0.130,276.429,31.451,0,12.056,0.627,None
8,(ID1858 : ID1808),1,1858,1808,1.234,0.182,275.881,30.777,0,21.362,1.111,None
9,(ID1808 : ID1682),1,1808,1682,0.769,0.234,275.202,30.626,0,16.869,0.877,None
10,(ID1682 : ID1552),1,1682,1552,0.183,0.286,274.956,31.105,0,8.218,0.427,None
11,(ID1552 : ID1636),1,1552,1636,0.123,0.338,275.208,31.362,0,6.738,0.350,None
12,(ID1636 : ID1952),1,1636,1952,0.053,0.390,275.390,31.539,0,4.438,0.231,None
13,(ID1952 : ID2080),1,1952,2080,0.444,0.442,275.203,31.915,0,12.813,0.666,None
14,(ID2080 : ID1906),1,2080,1906,30.341,0.494,274.079,29.582,0,105.928,5.508,None
15,(ID1906 : ID1996),1,1906,1996,9.536,0.546,274.686,27.219,0,59.387,3.088,None
16,(ID1996 : ID2034),1,1996,2034,99.384,0.598,278.900,23.254,0,191.714,9.969,None
17,(ID2034 : ID2122),1,2034,2122,1.255,0.650,281.387,19.579,0,21.547,1.120,None
18,(ID2122 : ID2207),1,2122,2207,0.054,0.702,281.195,19.987,0,4.450,0.231,None
19,(ID2207 : ID2168),1,2207,2168,7.952,0.754,279.820,20.144,0,54.229,2.820,None
20,(ID1724 : ID1772),2,1724,1772,46.683,0.026,436.150,40.826,0,131.395,6.833,None
21,(ID1772 : ID1593),2,1772,1593,1.965,0.078,438.438,44.241,0,26.954,1.402,None
22,(ID1593 : ID1860),2,1593,1860,67.728,0.130,442.464,42.721,0,158.263,8.230,None
23,(ID1860 : ID1810),2,1860,1810,54.001,0.182,449.587,39.744,0,141.318,7.349,None
24,(ID1810 : ID1683),2,1810,1683,7.300,0.234,451.814,38.576,0,51.959,2.702,None
25,(ID1683 : ID1553),2,1683,1553,88.723,0.286,446.944,35.229,0,181.140,9.419,None
26,(ID1553 : ID1637),2,1553,1637,0.883,0.338,443.109,31.757,0,18.075,0.940,None
27,(ID1637 : ID1953),2,1637,1953,11.785,0.390,444.448,31.918,0,66.017,3.433,None
28,(ID1953 : ID2081),2,1953,2081,4.806,0.442,445.085,31.988,0,42.160,2.192,None
29,(ID2081 : ID1907),2,2081,1907,18.322,0.494,442.213,30.500,0,82.315,4.280,None
30,(ID1907 : ID1997),2,1907,1997,6.116,0.546,439.103,29.415,0,47.559,2.473,None
31,(ID1997 : ID2035),2,1997,2035,6.041,0.598,438.033,30.581,0,47.265,2.458,None
32,(ID2035 : ID2125),2,2035,2125,16.819,0.650,439.448,33.424,0,78.867,4.101,None
33,(ID2125 : ID2210),2,2125,2210,22.345,0.702,439.229,36.901,0,90.904,4.727,None
34,(ID2210 : ID2171),2,2210,2171,2.399,0.754,438.503,38.970,0,29.784,1.549,None
35,(ID2171 : ID2251),2,2171,2251,0.854,0.806,438.824,39.001,0,17.771,0.924,None
36,(ID2251 : ID2290),2,2251,2290,16.997,0.858,436.509,37.996,0,79.284,4.123,None
37,(ID2290 : ID2423),2,2290,2423,9.495,0.910,436.139,36.935,0,59.258,3.081,None
38,(ID2423 : ID2466),2,2423,2466,5.715,0.962,436.544,37.119,0,45.973,2.391,None
39,(ID2466 : ID2505),2,2466,2505,1.591,1.014,436.057,37.522,0,24.254,1.261,None
40,(ID2505 : ID2379),2,2505,2379,25.504,1.066,434.264,36.789,0,97.117,5.050,None
41,(ID2379 : ID2334),2,2379,2334,8.882,1.118,431.962,34.594,0,57.313,2.980,None
42,(ID2334 : ID2593),2,2334,2593,7.579,1.170,432.977,32.062,0,52.943,2.753,None
43,(ID2593 : ID2546),2,2593,2546,26.574,1.222,435.913,29.443,0,99.135,5.155,None
44,(ID2546 : ID2638),2,2546,2638,34.555,1.274,435.661,26.035,0,113.046,5.878,None
45,(ID2638 : ID2685),2,2638,2685,3.955,1.326,434.217,23.685,0,38.246,1.989,None
46,(ID2685 : ID2731),2,2685,2731,57.723,1.378,435.960,19.478,0,146.107,7.598,None
47,(ID2731 : ID2870),2,2731,2870,5.298,1.430,435.937,16.482,0,44.263,2.302,None
48,(ID2870 : ID2781),2,2870,2781,26.873,1.482,432.429,17.175,0,99.690,5.184,None
49,(ID2781 : ID2917),2,2781,2917,60.220,1.534,426.321,15.532,0,149.234,7.760,None
50,(ID2917 : ID2821),2,2917,2821,38.817,1.586,425.019,16.083,0,119.814,6.230,None
51,(ID2821 : ID2962),2,2821,2962,3.436,1.638,426.583,17.614,0,35.649,1.854,None
