 ,Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
1,(ID110863 : ID111326),0,110863,111326,28.181,0.026,461.201,1.952,0,102.088,5.309,None
2,(ID111326 : ID110974),0,111326,110974,183.423,0.078,468.328,4.180,0,260.449,13.543,None
3,(ID110974 : ID111100),0,110974,111100,19.628,0.130,474.473,10.418,0,85.199,4.430,None
4,(ID111100 : ID111252),0,111100,111252,1.207,0.182,475.795,12.262,0,21.130,1.099,None
5,(ID111252 : ID111410),0,111252,111410,9.558,0.234,474.801,12.420,0,59.452,3.092,None
6,(ID111410 : ID110943),0,111410,110943,14.915,0.286,472.301,14.445,0,74.269,3.862,None
7,(ID110943 : ID111180),0,110943,111180,44.808,0.338,472.052,19.359,0,128.728,6.694,None
8,(ID110862 : ID111325),1,110862,111325,16.000,0.026,100.000,0.000,0,76.923,4.000,None
9,(ID111325 : ID110967),1,111325,110967,9.000,0.078,99.500,0.000,0,57.692,3.000,None
10,(ID110865 : ID111328),2,110865,111328,0.281,0.026,341.136,8.508,0,10.197,0.530,None
11,(ID111328 : ID110976),2,111328,110976,0.277,0.078,341.311,8.473,0,10.123,0.526,None
12,(ID110976 : ID111099),2,110976,111099,0.016,0.130,341.487,8.748,0,2.451,0.127,None
13,(ID111099 : ID111251),2,111099,111251,0.076,0.182,341.634,8.706,0,5.295,0.275,None
14,(ID111251 : ID111409),2,111251,111409,0.320,0.234,342.004,8.714,0,10.878,0.566,None
15,(ID111409 : ID110942),2,111409,110942,0.208,0.286,342.044,8.773,0,8.776,0.456,None
16,(ID110942 : ID111177),2,110942,111177,0.740,0.338,341.391,8.770,0,16.540,0.860,None
17,(ID111177 : ID111624),2,111177,111624,0.541,0.390,341.158,8.495,0,14.139,0.735,None
18,(ID111624 : ID111695),2,111624,111695,3.710,0.442,342.256,7.851,0,37.040,1.926,None
19,(ID111695 : ID111554),2,111695,111554,0.273,0.494,343.421,7.534,0,10.048,0.522,None
20,(ID111554 : ID111834),2,111554,111834,0.124,0.546,343.778,7.403,0,6.773,0.352,None
21,(ID111834 : ID111768),2,111834,111768,0.171,0.598,343.979,7.435,0,7.957,0.414,None
22,(ID110864 : ID111327),3,110864,111327,12.311,0.026,234.370,5.005,0,67.476,3.509,None
23,(ID111327 : ID110971),3,111327,110971,51.268,0.078,229.997,1.959,0,137.695,7.160,None
24,(ID110971 : ID111098),3,110971,111098,16.000,0.130,225.000,0.000,0,76.923,4.000,None
25,(ID111098 : ID111249),3,111098,111249,36.000,0.182,220.000,0.000,0,115.385,6.000,None
26,(ID110867 : ID111329),4,110867,111329,2.461,0.026,5.458,22.324,0,30.170,1.569,None
27,(ID111329 : ID110979),4,111329,110979,84.424,0.078,10.501,20.474,0,176.697,9.188,None
28,(ID110979 : ID111101),4,110979,111101,29.937,0.130,17.423,19.510,0,105.221,5.471,None
29,(ID111101 : ID111412),4,111101,111412,14.659,0.208,19.658,18.347,0,36.815,3.829,None
30,(ID111412 : ID110944),4,111412,110944,20.024,0.286,17.031,16.747,0,86.054,4.475,None
31,(ID110866 : ID111331),5,110866,111331,93.373,0.026,29.453,20.146,0,185.826,9.663,None
32,(ID111331 : ID110981),5,111331,110981,50.975,0.078,29.302,21.787,0,137.301,7.140,None
33,(ID110981 : ID111102),5,110981,111102,23.415,0.130,34.372,20.629,0,93.056,4.839,None
34,(ID111102 : ID111253),5,111102,111253,25.624,0.182,35.474,19.335,0,97.347,5.062,None
35,(ID111253 : ID111413),5,111253,111413,19.157,0.234,35.120,19.114,0,84.172,4.377,None
36,(ID111413 : ID110945),5,111413,110945,21.435,0.286,38.011,20.276,0,89.035,4.630,None
37,(ID110945 : ID111625),5,110945,111625,186.219,0.364,46.266,16.364,0,131.213,13.646,None
38,(ID111625 : ID111696),5,111625,111696,63.536,0.442,55.518,10.882,0,153.288,7.971,None
39,(ID111696 : ID111553),5,111696,111553,15.706,0.494,59.826,6.823,0,76.212,3.963,None
40,(ID111553 : ID111836),5,111553,111836,95.018,0.546,63.091,9.631,0,187.456,9.748,None
41,(ID111836 : ID111770),5,111836,111770,8.306,0.598,64.731,15.402,0,55.422,2.882,None
42,(ID111770 : ID111905),5,111770,111905,0.483,0.650,64.570,16.964,0,13.366,0.695,None
43,(ID110868 : ID111330),6,110868,111330,6.202,0.026,174.798,22.681,0,47.892,2.490,None
44,(ID111330 : ID110983),6,111330,110983,16.069,0.078,171.695,23.292,0,77.088,4.009,None
45,(ID110983 : ID111103),6,110983,111103,2.183,0.130,169.872,23.292,0,28.415,1.478,None
46,(ID111103 : ID111254),6,111103,111254,28.938,0.182,169.408,19.912,0,103.450,5.379,None
47,(ID111254 : ID111411),6,111254,111411,4.767,0.234,168.329,16.341,0,41.988,2.183,None
48,(ID111411 : ID111178),6,111411,111178,0.338,0.312,167.787,15.702,0,5.592,0.582,None
49,(ID111178 : ID111626),6,111178,111626,3.269,0.390,167.162,16.613,0,34.772,1.808,None
50,(ID111626 : ID111698),6,111626,111698,33.362,0.442,167.603,19.906,0,111.077,5.776,None
51,(ID111698 : ID111555),6,111698,111555,91.186,0.494,171.522,18.725,0,183.638,9.549,None
52,(ID111555 : ID111835),6,111555,111835,90.723,0.546,178.638,12.815,0,183.170,9.525,None
53,(ID111835 : ID111769),6,111835,111769,1.034,0.598,182.424,10.741,0,19.559,1.017,None
54,(ID111769 : ID111902),6,111769,111902,39.951,0.650,178.964,9.597,0,121.552,6.321,None
