 ,Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
1,Track_0,9,0,0,0,0,0,0.416,0.000,0.416,33.973,0,0,269.905,16.749,0,95.598,150.461,22.039,110.071,40.085,37.703,52.607,20.004,37.972,10.504
2,Track_1,21,0,0,0,0,0,1.040,0.000,1.040,33.206,1,1,438.737,15.641,0,78.893,160.945,19.140,82.674,35.636,39.890,62.098,27.237,38.865,7.006
3,Track_2,12,0,0,0,0,0,0.572,0.000,0.572,2.440,2,2,487.247,8.040,0,73.162,169.552,8.272,51.110,45.748,37.540,47.714,20.546,39.128,7.924
4,Track_3,14,0,0,0,0,0,0.676,0.000,0.676,24.320,3,3,265.559,17.470,0,80.969,226.086,4.252,54.062,57.811,43.031,53.966,24.925,48.388,9.356
5,Track_4,39,0,0,0,0,0,1.976,0.000,1.976,14.744,4,4,209.930,28.129,0,94.518,232.402,14.472,87.153,48.551,38.437,59.700,22.475,36.722,8.654
6,Track_5,10,0,0,0,0,0,0.468,0.156,0.624,24.532,5,5,507.703,23.885,0,100.584,164.976,19.231,91.534,44.717,30.531,45.458,19.330,35.217,8.163
7,Track_6,214,4,1,0,0,0,11.284,0.000,11.284,0.636,6,6,331.158,20.474,0,10.360,35.212,0.236,9.600,6.406,23.287,33.563,15.269,23.240,3.313
8,Track_7,40,0,0,0,0,0,2.028,0.000,2.028,26.798,7,7,310.581,38.168,0,76.300,200.061,14.395,66.692,43.711,42.185,57.184,25.611,42.424,7.414
9,Track_8,15,0,0,0,0,0,0.728,0.000,0.728,8.878,8,8,32.090,33.920,0,37.160,181.964,10.034,27.738,44.727,43.445,52.854,19.653,43.106,8.324
10,Track_9,39,1,1,0,0,0,2.028,0.312,2.340,18.343,9,9,10.008,39.179,0,81.312,159.737,10.318,84.585,38.707,29.909,47.295,15.528,30.091,7.714
11,Track_10,124,4,1,0,0,0,6.604,0.000,6.604,58.458,10,10,26.866,62.566,0,86.924,269.304,9.597,77.160,49.920,29.664,71.048,17.595,29.613,7.085
12,Track_11,22,1,1,0,0,0,1.144,0.208,1.352,12.095,11,11,13.330,42.704,0,66.583,145.292,13.028,59.016,42.210,30.796,39.803,23.564,30.428,4.655
13,Track_12,25,0,0,0,0,0,1.248,0.260,1.508,26.475,12,12,26.472,60.756,0,98.850,221.284,12.328,94.931,54.688,29.087,40.997,15.754,28.797,6.997
14,Track_13,48,0,0,0,0,0,2.444,0.000,2.444,28.083,13,13,388.135,68.020,0,78.270,210.807,12.797,67.426,51.337,43.350,81.422,16.804,43.547,10.572
15,Track_14,10,0,0,0,0,0,0.468,0.000,0.468,13.172,14,14,212.583,71.418,0,76.699,135.498,30.333,61.048,38.495,41.141,61.794,20.392,41.313,10.035
16,Track_15,30,0,0,0,0,0,1.508,0.052,1.560,38.583,15,15,311.378,85.552,0,90.214,170.089,16.292,83.107,48.574,39.300,58.828,17.201,40.336,9.784
17,Track_16,24,0,0,0,0,0,1.196,0.000,1.196,4.630,16,16,24.390,83.148,0,85.659,179.739,26.293,82.306,42.298,30.727,39.889,23.498,30.238,4.967
18,Track_17,12,0,0,0,0,0,0.572,0.000,0.572,13.359,17,17,505.276,79.004,0,52.733,126.547,12.796,43.956,34.004,42.424,55.242,20.009,47.686,10.487
19,Track_18,9,0,0,0,0,0,0.416,0.000,0.416,4.360,18,18,180.215,77.607,0,50.054,148.894,10.854,25.419,49.451,41.547,52.587,20.626,45.507,9.663
20,Track_19,33,0,0,0,0,0,1.664,0.000,1.664,9.357,19,19,96.936,76.271,0,90.976,249.621,15.124,81.714,53.087,35.524,47.281,18.375,35.443,6.882
21,Track_20,14,0,0,0,0,0,0.676,0.000,0.676,20.834,20,20,197.946,86.895,0,80.244,146.361,29.418,73.006,35.660,38.096,50.160,22.041,42.072,8.840
22,Track_21,55,0,0,0,0,0,2.808,0.000,2.808,11.342,21,21,453.826,84.363,0,62.393,152.385,1.606,51.067,41.965,39.900,76.443,23.293,39.829,9.115
23,Track_22,8,0,0,0,0,0,0.364,0.156,0.520,12.590,22,22,342.759,88.806,0,82.586,136.583,38.383,67.156,34.613,44.069,58.567,21.248,51.976,12.286
24,Track_23,13,0,0,0,0,0,0.624,0.000,0.624,24.009,23,23,462.502,93.790,0,110.823,198.349,50.009,110.476,52.133,37.302,53.338,25.190,38.020,7.870
25,Track_24,12,0,0,0,0,0,0.572,0.000,0.572,27.289,24,24,275.345,101.399,0,83.001,156.503,8.863,89.437,41.963,50.604,90.801,26.951,48.014,16.358
26,Track_25,33,0,0,0,0,0,1.664,0.000,1.664,4.110,25,25,77.937,102.733,0,91.903,152.753,18.473,92.488,44.355,36.865,49.884,20.190,39.187,7.828
27,Track_26,12,0,0,0,0,0,0.572,0.000,0.572,42.640,26,26,33.080,103.889,0,118.404,219.396,13.830,122.791,62.214,31.231,42.795,21.597,32.606,7.641
28,Track_27,10,0,0,0,0,0,0.468,0.000,0.468,3.353,27,27,287.057,111.966,0,43.638,67.993,12.895,46.560,18.580,52.552,61.364,31.800,54.545,8.430
29,Track_28,11,0,0,0,0,0,0.520,0.000,0.520,15.503,28,28,388.592,110.534,0,72.919,157.051,19.111,65.521,46.358,39.073,59.803,26.432,34.791,10.938
30,Track_29,72,0,0,0,0,0,3.692,0.000,3.692,18.440,29,29,367.527,128.944,0,21.318,76.139,2.697,17.480,15.192,60.368,76.152,37.724,60.299,7.494
31,Track_30,11,0,0,0,0,0,0.520,0.000,0.520,10.166,30,30,481.908,122.560,0,84.553,203.255,31.823,77.228,51.041,34.726,50.235,19.499,32.668,9.689
32,Track_31,20,0,0,0,0,0,0.988,0.000,0.988,29.214,31,31,95.690,136.133,0,72.024,190.061,8.685,69.055,44.481,42.743,66.817,23.850,41.471,10.681
33,Track_32,60,0,0,0,0,0,3.068,0.000,3.068,6.409,32,32,351.933,128.902,0,23.470,83.644,2.437,20.981,15.571,59.732,105.979,34.523,57.542,13.054
34,Track_33,13,0,0,0,0,0,0.624,0.000,0.624,14.529,33,33,184.422,141.697,0,79.342,211.381,43.964,63.509,46.695,47.336,56.251,18.070,51.011,10.347
35,Track_34,94,0,0,0,0,0,4.836,0.000,4.836,4.560,34,34,18.731,139.827,0,19.479,71.087,0.477,16.342,14.674,53.585,115.474,32.033,49.921,16.951
36,Track_35,12,0,0,0,0,0,0.572,0.000,0.572,30.685,35,35,362.184,140.447,0,82.414,159.246,41.232,67.583,38.910,42.212,58.175,15.063,46.482,12.307
