 ,Label,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,VELOCITY,DISPLACEMENT,MANUAL_COLOR
1,(ID2307540 : ID2307614),0,2307540,2307614,11.401,0.026,473.688,20.615,0,64.932,3.376,None
2,(ID2307614 : ID2307405),0,2307614,2307405,9.060,0.078,476.847,20.194,0,57.883,3.010,None
3,(ID2307405 : ID2307471),0,2307405,2307471,9.337,0.130,479.283,18.885,0,58.762,3.056,None
4,(ID2307471 : ID2307284),0,2307471,2307284,9.081,0.182,479.119,18.708,0,57.950,3.013,None
5,(ID2307284 : ID2307175),0,2307284,2307175,2.606,0.234,478.170,20.532,0,31.045,1.614,None
6,(ID2307175 : ID2307229),0,2307175,2307229,0.427,0.286,478.394,21.007,0,12.564,0.653,None
7,(ID2307229 : ID2307343),0,2307229,2307343,17.000,0.338,478.912,18.675,0,79.290,4.123,None
8,(ID2307343 : ID2307876),0,2307343,2307876,11.574,0.416,481.058,16.644,0,32.712,3.402,None
9,(ID2307876 : ID2307810),0,2307876,2307810,9.374,0.494,481.594,15.633,0,58.879,3.062,None
10,(ID2307810 : ID2307748),0,2307810,2307748,3.513,0.546,480.013,15.479,0,36.043,1.874,None
11,(ID2307539 : ID2307613),1,2307539,2307613,1.772,0.026,225.291,16.556,0,25.599,1.331,None
12,(ID2307613 : ID2307404),1,2307613,2307404,0.387,0.078,225.975,16.438,0,11.957,0.622,None
13,(ID2307404 : ID2307470),1,2307404,2307470,0.037,0.130,226.057,16.783,0,3.689,0.192,None
14,(ID2307470 : ID2307283),1,2307470,2307283,4.664,0.182,225.490,15.898,0,41.533,2.160,None
15,(ID2307283 : ID2307174),1,2307283,2307174,8.014,0.234,223.788,14.189,0,54.441,2.831,None
16,(ID2307174 : ID2307228),1,2307174,2307228,2.967,0.286,221.750,13.625,0,33.126,1.723,None
17,(ID2307228 : ID2307342),1,2307228,2307342,0.769,0.338,221.348,13.801,0,16.859,0.877,None
18,(ID2307342 : ID2307682),1,2307342,2307682,5.524,0.390,220.646,14.074,0,45.200,2.350,None
19,(ID2307682 : ID2307875),1,2307682,2307875,2.809,0.442,220.267,14.010,0,32.229,1.676,None
20,(ID2307875 : ID2307808),1,2307875,2307808,0.053,0.494,220.961,13.566,0,4.412,0.229,None
21,(ID2307808 : ID2307747),1,2307808,2307747,8.508,0.546,219.492,13.873,0,56.093,2.917,None
22,(ID2307544 : ID2307618),2,2307544,2307618,0.036,0.026,371.494,61.289,0,3.668,0.191,None
23,(ID2307618 : ID2307409),2,2307618,2307409,0.126,0.078,371.497,61.202,0,6.825,0.355,None
24,(ID2307409 : ID2307476),2,2307409,2307476,0.031,0.130,371.456,61.028,0,3.387,0.176,None
25,(ID2307476 : ID2307288),2,2307476,2307288,0.089,0.182,371.515,61.047,0,5.742,0.299,None
26,(ID2307288 : ID2307179),2,2307288,2307179,0.102,0.234,371.777,60.957,0,6.140,0.319,None
27,(ID2307179 : ID2307232),2,2307179,2307232,0.402,0.286,371.591,60.946,0,12.192,0.634,None
28,(ID2307232 : ID2307347),2,2307232,2307347,0.267,0.338,371.540,60.979,0,9.944,0.517,None
29,(ID2307347 : ID2307686),2,2307347,2307686,0.162,0.390,371.596,60.858,0,7.735,0.402,None
30,(ID2307686 : ID2307880),2,2307686,2307880,0.062,0.442,371.521,60.844,0,4.808,0.250,None
31,(ID2307880 : ID2307816),2,2307880,2307816,0.012,0.494,371.589,60.903,0,2.086,0.108,None
32,(ID2307816 : ID2307754),2,2307816,2307754,0.088,0.546,371.427,60.826,0,5.693,0.296,None
33,(ID2307754 : ID2307997),2,2307754,2307997,0.016,0.598,371.260,60.758,0,2.405,0.125,None
34,(ID2307997 : ID2307944),2,2307997,2307944,0.346,0.650,371.172,61.080,0,11.314,0.588,None
35,(ID2307944 : ID2308109),2,2307944,2308109,1.084,0.702,371.268,60.868,0,20.024,1.041,None
36,(ID2308109 : ID2308058),2,2308109,2308058,0.270,0.754,371.358,60.620,0,9.994,0.520,None
37,(ID2308058 : ID2308152),2,2308058,2308152,10.260,0.806,370.038,61.838,0,61.599,3.203,None
38,(ID2308152 : ID2308211),2,2308152,2308211,13.702,0.858,366.965,63.260,0,71.186,3.702,None
39,(ID2308211 : ID2308274),2,2308211,2308274,0.582,0.910,365.487,63.506,0,14.677,0.763,None
40,(ID2308274 : ID2308343),2,2308274,2308343,0.112,0.962,365.798,63.458,0,6.438,0.335,None
41,(ID2308343 : ID2308408),2,2308343,2308408,0.927,1.014,365.313,63.616,0,18.511,0.963,None
42,(ID2308408 : ID2308520),2,2308408,2308520,6.297,1.066,363.900,64.446,0,48.259,2.509,None
43,(ID2308520 : ID2308465),2,2308520,2308465,4.654,1.118,363.299,64.260,0,41.488,2.157,None
44,(ID2308465 : ID2308574),2,2308465,2308574,1.217,1.170,363.857,62.730,0,21.216,1.103,None
45,(ID2308574 : ID2308620),2,2308574,2308620,5.601,1.222,363.400,61.262,0,45.514,2.367,None
46,(ID2308620 : ID2308666),2,2308620,2308666,0.424,1.300,362.799,59.981,0,6.263,0.651,None
47,(ID2308666 : ID2308730),2,2308666,2308730,1.055,1.378,363.073,60.143,0,19.757,1.027,None
48,(ID2308730 : ID2308849),2,2308730,2308849,0.979,1.430,363.151,60.138,0,19.031,0.990,None
49,(ID2308849 : ID2308967),2,2308849,2308967,0.538,1.482,363.405,59.671,0,14.110,0.734,None
50,(ID2308967 : ID2308913),2,2308967,2308913,0.056,1.534,363.697,59.593,0,4.556,0.237,None
51,(ID2308913 : ID2309028),2,2308913,2309028,0.273,1.586,363.545,59.750,0,10.057,0.523,None
52,(ID2309028 : ID2309138),2,2309028,2309138,1.064,1.638,363.007,60.232,0,19.840,1.032,None
53,(ID2309138 : ID2309190),2,2309138,2309190,0.847,1.690,362.953,60.249,0,17.700,0.920,None
54,(ID2309190 : ID2309080),2,2309190,2309080,0.233,1.742,363.248,59.818,0,9.286,0.483,None
55,(ID2309080 : ID2309247),2,2309080,2309247,0.034,1.794,363.229,59.607,0,3.559,0.185,None
56,(ID2309247 : ID2309309),2,2309247,2309309,4.263E-4,1.846,363.312,59.614,0,0.397,0.021,None
57,(ID2309309 : ID2309379),2,2309309,2309379,0.023,1.898,363.303,59.544,0,2.889,0.150,None
58,(ID2309379 : ID2309443),2,2309379,2309443,0.267,1.950,363.134,59.665,0,9.941,0.517,None
59,(ID2309443 : ID2309498),2,2309443,2309498,1.745,2.002,363.120,59.219,0,25.404,1.321,None
60,(ID2309498 : ID2309538),2,2309498,2309538,0.520,2.054,363.056,58.864,0,13.862,0.721,None
61,(ID2309538 : ID2309582),2,2309538,2309582,0.176,2.106,362.935,59.337,0,8.074,0.420,None
62,(ID2309582 : ID2309629),2,2309582,2309629,0.177,2.158,363.018,59.734,0,8.094,0.421,None
63,(ID2309629 : ID2309688),2,2309629,2309688,0.041,2.210,363.073,60.018,0,3.876,0.202,None
64,(ID2309688 : ID2309812),2,2309688,2309812,0.401,2.262,363.156,59.776,0,12.183,0.634,None
